from_category,to_category,count
食品,服装,31875513
服装,食品,31874435
电子产品,服装,31853810
服装,电子产品,31853377
食品,电子产品,31686145
电子产品,食品,31683261
家居,服装,16523756
服装,家居,16519953
食品,家居,16431096
家居,食品,16430951
家居,电子产品,16421744
电子产品,家居,16416372
玩具,服装,13175566
服装,玩具,13173311
食品,玩具,13105200
玩具,食品,13103387
玩具,电子产品,13092493
电子产品,玩具,13091416
办公,服装,8996644
服装,办公,8993899
食品,办公,8946422
办公,食品,8945161
办公,电子产品,8942236
电子产品,办公,8938584
服装,母婴,8867787
母婴,服装,8867168
食品,母婴,8822550
母婴,食品,8820836
母婴,电子产品,8816463
电子产品,母婴,8814185
运动户外,服装,8749392
服装,运动户外,8748500
食品,运动户外,8703525
运动户外,食品,8700537
电子产品,运动户外,8694125
运动户外,电子产品,8691939
汽车用品,服装,8628012
服装,汽车用品,8625846
食品,汽车用品,8584135
汽车用品,食品,8577603
汽车用品,电子产品,8574521
电子产品,汽车用品,8571566
家居,玩具,6792501
玩具,家居,6792095
家居,办公,4639264
办公,家居,4637201
家居,母婴,4573015
母婴,家居,4568923
家居,运动户外,4509337
运动户外,家居,4506902
汽车用品,家居,4448264
家居,汽车用品,4446782
办公,玩具,3697507
玩具,办公,3697096
玩具,母婴,3647956
母婴,玩具,3646154
运动户外,玩具,3595587
玩具,运动户外,3595044
汽车用品,玩具,3547097
玩具,汽车用品,3545438
母婴,办公,2493123
办公,母婴,2490681
运动户外,办公,2454332
办公,运动户外,2454070
母婴,运动户外,2422521
汽车用品,办公,2421432
运动户外,母婴,2421057
办公,汽车用品,2420706
汽车用品,母婴,2388312
母婴,汽车用品,2386426
汽车用品,运动户外,2354569
运动户外,汽车用品,2354199
