,0,5,2,1,6,4,3
玩具,4259936,4259387,4263682,4247237,4260249,4259763,4260144
电子产品,12335728,12325709,12336378,12286762,12337074,12336078,12335088
汽车用品,2690805,2691047,2692284,2681466,2694576,2691288,2690145
食品,12347704,12340661,12351846,12301967,12343788,12348330,12348884
服装,12443855,12427755,12442930,12389960,12446515,12441023,12434712
运动户外,2732230,2731000,2732001,2717863,2735756,2734932,2732610
家居,5495527,5494233,5495215,5475141,5493983,5491026,5494364
母婴,2773993,2770307,2773217,2763232,2772310,2772865,2772032
办公,2813565,2815537,2813892,2802311,2811887,2814887,2816429
